127.0.0.1 - - [19/Apr/2021:19:53:27 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:53:29 +0800] "GET /MyMinilibStudent/main/login.jsp HTTP/1.1" 200 2221
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:53:29 +0800] "GET /MyMinilibStudent/image/img01.jpg HTTP/1.1" 200 97178
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:53:56 +0800] "GET /dataStructure/main/login.jsp HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:53:56 +0800] "GET /dataStructure/css/login.css HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:54:05 +0800] "GET /dataStructure/main/login.jsp HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:54:05 +0800] "GET /dataStructure/css/login.css HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:54:05 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:54:08 +0800] "GET /dataStructure/main/register.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:54:08 +0800] "GET /dataStructure/js/login.js HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:57:09 +0800] "GET /dataStructure/main/login.jsp HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:58:58 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:58:58 +0800] "GET /dataStructure/js/mine.js HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:58:58 +0800] "GET /dataStructure/css/mine.css HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:02:55 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:02:55 +0800] "GET /dataStructure/main/images/head_img.jpeg HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:13:02 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:13:02 +0800] "GET /dataStructure/main/images/head_img.jpeg HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:13:14 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:13:14 +0800] "GET /dataStructure/css/mine.css HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:13:14 +0800] "GET /dataStructure/main/images/head_img.jpeg HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:13:14 +0800] "GET /dataStructure/js/mine.js HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:13:14 +0800] "GET /dataStructure/images/head_img.jpeg HTTP/1.1" 200 43172
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:16:41 +0800] "GET /dataStructure/main/main.jsp HTTP/1.1" 200 9049
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:16:41 +0800] "GET /dataStructure/css/global.css HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:16:41 +0800] "GET /dataStructure/js/global.js HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:16:41 +0800] "GET /dataStructure/main/hello.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:20:24 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:21:16 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:21:29 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:21:29 +0800] "GET /dataStructure/css/mine.css HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:21:29 +0800] "GET /dataStructure/images/head_img.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:22:01 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:22:01 +0800] "GET /dataStructure/css/mine.css HTTP/1.1" 200 2010
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:24:27 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:24:27 +0800] "GET /dataStructure/css/mine.css HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:24:27 +0800] "GET /dataStructure/images/head_img.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:24:35 +0800] "GET /dataStructure/main/main.jsp HTTP/1.1" 200 9049
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:24:35 +0800] "GET /dataStructure/css/global.css HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [19/Apr/2021:20:24:35 +0800] "GET /dataStructure/js/global.js HTTP/1.1" 200 782
