127.0.0.1 - - [12/May/2021:15:23:12 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:13 +0800] "GET /dataStructure/main/index.jsp HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:13 +0800] "GET /dataStructure/css/global.css HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:13 +0800] "GET /dataStructure/js/global.js HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:13 +0800] "GET /dataStructure/main/hello.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:25 +0800] "GET /dataStructure/main/index.jsp HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:25 +0800] "GET /dataStructure/css/global.css HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:25 +0800] "GET /dataStructure/js/global.js HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:25 +0800] "GET /dataStructure/main/hello.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:25 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:41 +0800] "GET /dataStructure/main/login.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [12/May/2021:15:23:41 +0800] "GET /dataStructure/css/login.css HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [12/May/2021:15:25:24 +0800] "POST /dataStructure/main/loginAcManageUserAction.action HTTP/1.1" 200 9114
0:0:0:0:0:0:0:1 - - [12/May/2021:15:25:31 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [12/May/2021:15:25:31 +0800] "GET /dataStructure/css/mine.css HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [12/May/2021:15:25:31 +0800] "GET /dataStructure/js/mine.js HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [12/May/2021:15:25:31 +0800] "GET /dataStructure/images/head_img.jpeg HTTP/1.1" 200 43172
0:0:0:0:0:0:0:1 - - [12/May/2021:15:26:47 +0800] "GET /dataStructure/main/main.jsp HTTP/1.1" 200 9114
0:0:0:0:0:0:0:1 - - [12/May/2021:15:26:53 +0800] "GET /dataStructure/animation/sort/insertSort/insertSort.html HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [12/May/2021:15:26:53 +0800] "GET /dataStructure/animation/sort/insertSort/insertSort.js HTTP/1.1" 200 7234
0:0:0:0:0:0:0:1 - - [12/May/2021:15:26:53 +0800] "GET /dataStructure/css/Player.css HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [12/May/2021:15:27:05 +0800] "POST /dataStructure/main/queryAlgoByNameAcManageAlgorithmAction HTTP/1.1" 200 10033
0:0:0:0:0:0:0:1 - - [12/May/2021:15:27:10 +0800] "GET /dataStructure/main/notmade.html HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2021:15:27:14 +0800] "POST /dataStructure/main/queryAlgoByNameAcManageAlgorithmAction HTTP/1.1" 200 10033
0:0:0:0:0:0:0:1 - - [12/May/2021:15:27:37 +0800] "POST /dataStructure/main/queryAlgoByNameAcManageAlgorithmAction HTTP/1.1" 200 10033
0:0:0:0:0:0:0:1 - - [12/May/2021:15:27:41 +0800] "GET /dataStructure/animation/sort/bubbleSort/bubbleSort.html HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [12/May/2021:15:27:41 +0800] "GET /dataStructure/animation/sort/bubbleSort/bubbleSort.js HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [12/May/2021:15:32:18 +0800] "GET /dataStructure/main/main.jsp HTTP/1.1" 200 10033
